Category,Id,Question,Question_concat,Response,Response (group),Sentiment,Calculation1,Negative,Neutral N Values,Neutral P Values,NPS,Positive Values,responses,Value
Design,Respondent #41,I would recommend this to others.,Design - I find this aspect of the product satisfactory.,Strongly Agree,positive,Positive,0,-1,-0.1885622958541291,0,100,1,1,4
Design,Respondent #35,This aspect meets my expectations.,Design - This aspect is easy to understand and use.,Agree,positive,Positive,-1,0,-0.24281967056318887,1,-100,0,1,2
Design,Respondent #13,I find this aspect of the product satisfactory.,Design - I would recommend this to others.,Disagree,negative,Positive,0,0,0.9093442325930086,1,-100,0,1,5
Design,Respondent #33,I would recommend this to others.,Design - I find this aspect of the product satisfactory.,Strongly Agree,positive,Positive,-2,0,0.7949588896119775,1,-100,1,1,1
Design,Respondent #17,This aspect meets my expectations.,Design - I find this aspect of the product satisfactory.,Neutral,neutral,Positive,2,0,-0.17185683029343157,0,100,0,1,4
Design,Respondent #46,This aspect is easy to understand and use.,Design - I would recommend this to others.,Strongly Agree,positive,Positive,-1,-1,0.6495138537721177,0,100,1,1,5
Design,Respondent #10,I would recommend this to others.,Design - This aspect meets my expectations.,Neutral,neutral,Positive,0,-1,0.0698411013920539,1,100,0,1,2
Design,Respondent #25,This aspect meets my expectations.,Design - I find this aspect of the product satisfactory.,Strongly Disagree,negative,Positive,-1,0,0.33689427406508243,1,0,1,1,3
Design,Respondent #50,I find this aspect of the product satisfactory.,Design - This aspect is easy to understand and use.,Disagree,negative,Positive,2,0,0.7427893357998518,0,0,0,1,5
Design,Respondent #15,The performance in this area is reliable.,Design - I would recommend this to others.,Neutral,neutral,Positive,-2,0,0.8596318141564947,0,-100,1,1,3
Design,Respondent #3,The performance in this area is reliable.,Design - I find this aspect of the product satisfactory.,Disagree,negative,Positive,-1,-1,0.516230270195976,0,-100,1,1,5
Design,Respondent #6,The performance in this area is reliable.,Design - I would recommend this to others.,Agree,positive,Positive,-2,0,0.10906941499832268,0,100,0,1,4
Design,Respondent #47,This aspect meets my expectations.,Design - I find this aspect of the product satisfactory.,Disagree,negative,Positive,0,0,-0.31895651823560445,0,100,0,1,5
Design,Respondent #39,The performance in this area is reliable.,Design - This aspect meets my expectations.,Strongly Agree,positive,Positive,0,-1,0.3825392879908587,1,0,1,1,4
Design,Respondent #23,This aspect is easy to understand and use.,Design - This aspect meets my expectations.,Neutral,neutral,Positive,0,-1,0.6409562527695729,0,0,0,1,4
Design,Respondent #33,I would recommend this to others.,Design - This aspect is easy to understand and use.,Disagree,negative,Positive,2,0,-0.26296561853350364,1,-100,1,1,5
Design,Respondent #21,I find this aspect of the product satisfactory.,Design - This aspect meets my expectations.,Strongly Disagree,negative,Positive,-2,0,-0.4029717727383093,1,100,1,1,2
Design,Respondent #18,This aspect meets my expectations.,Design - The performance in this area is reliable.,Disagree,negative,Positive,2,0,-0.5031733818532782,1,100,1,1,3
Design,Respondent #12,I find this aspect of the product satisfactory.,Design - I find this aspect of the product satisfactory.,Strongly Agree,positive,Positive,1,0,0.4675250371082036,1,100,0,1,4
